dist,basis,M,E_real,E_imag,error
2.4,local,2,-4.799888677949651,0.00045266079506890537,0.003012675252015144
2.4,local,4,-4.993996087165961,-0.00012994927580619984,0.0021759235864675193
2.4,local,8,-5.214088897561451,0.0005438963775843343,0.0006270189802875662
2.4,local,16,-5.224684585898613,-0.0007784848845612672,0.00031873984652659504
2.4,local,32,nan,nan,nan
2.4,local,64,-5.226762267351136,-9.4998151430692e-05,0.00019152793290525024
2.8,local,1,-4.57086436101679,-0.0005041016788850343,0.003238164164003457
2.8,local,2,-4.762296115224586,0.0007067351813882881,0.002614286770317153
2.8,local,4,-4.895752123602243,-2.595974709104737e-05,0.0021785261678098577
2.8,local,8,-5.044560433678612,-0.00010994191784531186,0.0004837674129033627
2.8,local,16,-5.047114261363882,-0.00010895623231177795,0.00034815802094663716
2.8,local,32,-5.048431117919588,-3.5441438607855454e-05,0.00021969997632910598
2.8,local,64,nan,nan,nan
3.2,local,1,-4.606459978183413,6.878801014691721e-06,0.002236885447542712
3.2,local,2,-4.7055660631383045,-0.0008499982688416565,0.002659043871126617
3.2,local,4,-4.813308142033122,-0.0007899697970829228,0.0022083907010355154
3.2,local,8,-4.89017793279114,1.2439947013112637e-05,0.0009755121678295628
3.2,local,16,-4.903598957403135,0.0004516543122602344,0.00044524358362012684
3.2,local,32,-4.905945870717574,-4.110045847945777e-05,0.00036992279965675516
3.2,local,64,-4.908615827381444,8.73999603131309e-05,0.00018602498811529254
