U,BC,E
0.0,APBC,-40.80918789001947
0.0,OBC,-40.03277580096936
2.0,APBC,-27.067979261931207
2.0,OBC,-26.470268908612802
4.0,APBC,-18.379546818641384
4.0,OBC,-17.99457836512607
6.0,APBC,-13.457399494860788
6.0,OBC,-13.177605241996869
8.0,APBC,-10.492979097098363
8.0,OBC,-10.275379040029211
10.0,APBC,-8.55880418702721
10.0,OBC,-8.381512295795844
